intent,snippet
"Extracting words from a string, removing punctuation and returning a list with separated words in Python","re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')"
Convert string into datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()"
Python Requests getting SSLerror,"requests.get('https://www.reporo.com/', verify=False)"
removing data from a numpy.array,a[a != 0]
Map two lists into a dictionary in Python,"new_dict = {k: v for k, v in zip(keys, values)}"
Map two lists into a dictionary in Python,"dict((k, v) for k, v in zip(keys, values))"
Map two lists into a dictionary in Python,"dict([(k, v) for k, v in zip(keys, values)])"
Get the string within brackets in Python,"m = re.search('\\[(\\w+)\\]', s)"
"Python server ""Only one usage of each socket address is normally permitted""","s.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)"
How do i add two lists' elements into one list?,"list3 = [(a + b) for a, b in zip(list1, list2)]"
Python - Converting Hex to INT/CHAR,[ord(c) for c in s.decode('hex')]
How to sort in decreasing value first then increasing in second value,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
Repeating elements in list comprehension,"[y for x in range(3) for y in [x, x]]"
"Doc, rtf and txt reader in python",txt = open('file.txt').read()
How do you divide each element in a list by an int?,myList[:] = [(x / myInt) for x in myList]
python: dots in the name of variable in a format string,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})"
How to replace the white space in a string in a pandas dataframe?,"df.replace(' ', '_', regex=True)"
Python: most efficient way to convert date to datetime,"datetime.datetime.combine(my_date, datetime.time.min)"
Tuple to string,tst2 = str(tst)
get file creation & modification date/times in,time.ctime(os.path.getmtime(file))
get file creation & modification date/times in,time.ctime(os.path.getctime(file))
get file creation & modification date/times in,t = os.path.getmtime(filename)
get file creation & modification date/times in,os.path.getmtime(path)
get file creation & modification date/times in,print(('last modified: %s' % time.ctime(os.path.getmtime(file))))
get file creation & modification date/times in,print(('created: %s' % time.ctime(os.path.getctime(file))))
get file creation & modification date/times in,return os.path.getctime(path_to_file)
How to Close a program using python?,os.system('TASKKILL /F /IM firefox.exe')
Is there a generator version of `string.split()` in Python?,"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))"
Using Python String Formatting with Lists,""""""", """""".join(['%.2f'] * len(x))"
How to use regex with optional characters in python?,"print(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))"
How to remove parentheses and all data within using Pandas/Python?,"df['name'].str.replace('\\(.*\\)', '')"
Python: filter list of list with another list,result = [x for x in list_a if x[0] in list_b]
Generate all possible strings from a list of token,"print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])"
python how to search an item in a nested list,[x for x in li if 'ar' in x[2]]
Python - How to sort a list of lists by the fourth element in each list?,unsorted_list.sort(key=lambda x: x[3])
Python logging typeerror,logging.info('test')
How to make several plots on a single page using matplotlib?,"fig.add_subplot(1, 1, 1)"
Sort a Python dictionary by value,"sorted(list(x.items()), key=operator.itemgetter(1))"
Sort a Python dictionary by value,"sorted(dict1, key=dict1.get)"
Sort a Python dictionary by value,"sorted(d, key=d.get, reverse=True)"
Sort a Python dictionary by value,"sorted(list(d.items()), key=(lambda x: x[1]))"
Numpy elementwise product of 3d array,"np.einsum('ijk,ikl->ijl', A, B)"
print variable and a string in python,print('I have: {0.price}'.format(card))
How can I add a comment to a YAML file in Python,f.write('# Data for Class A\n')
How do I move the last item in a list to the front in python?,a = a[-1:] + a[:-1]
python - convert datetime to varchar/string,datetimevariable.strftime('%Y-%m-%d')
What's the most pythonic way of normalizing lineends in a string?,"mixed.replace('\r\n', '\n').replace('\r', '\n')"
How to find the real user home directory using python?,os.path.expanduser('~user')
"In Python, how do I index a list with another list?",T = [L[i] for i in Idx]
Iterate through words of a file in Python,words = open('myfile').read().split()
Summing 2nd list items in a list of lists of lists,[[sum([x[1] for x in i])] for i in data]
Summing 2nd list items in a list of lists of lists,[sum([x[1] for x in i]) for i in data]
Django order by highest number of likes,Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')
How to convert datetime.date.today() to UTC time?,today = datetime.datetime.utcnow().date()
How to perform element-wise multiplication of two lists in Python?,"[(a * b) for a, b in zip(lista, listb)]"
Capturing emoticons using regular expression in python,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)"
Capturing emoticons using regular expression in python,"re.match('[:;][)(](?![)(])', str)"
List of objects to JSON with Python,json_string = json.dumps([ob.__dict__ for ob in list_name])
List of zeros in python,listofzeros = [0] * n
python: how to convert a string to utf-8,"stringnamehere.decode('utf-8', 'ignore')"
Python regex - Ignore parenthesis as indexing?,"re.findall('((?:A|B|C)D)', 'BDE')"
Python dict how to create key or append an element to key?,"dic.setdefault(key, []).append(value)"
Finding the minimum value in a numpy array and the corresponding values for the rest of that array's row,"a[np.argmin(a[:, (1)])]"
"Python ""extend"" for a dictionary",a.update(b)
Removing key values pairs from a list of dictionaries,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
Removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]"
Simple way to create matrix of random numbers,"numpy.random.random((3, 3))"
Make new column in Panda dataframe by adding values from other columns,df['C'] = df['A'] + df['B']
Find dictionary items whose key matches a substring,"[value for key, value in list(programs.items()) if 'new york' in key.lower()]"
"Import module in another directory from a ""parallel"" sub-directory",sys.path.append('/path/to/main_folder')
Regex for getting all digits in a string after a character,"re.findall('\\d+(?=[^[]+$)', s)"
Python pickle/unpickle a list to/from a file,"pickle.load(open('afile', 'rb'))"
Clicking a link using selenium using python,driver.find_element_by_xpath('xpath').click()
Counting unique index values in Pandas groupby,ex.groupby(level='A').agg(lambda x: x.index.get_level_values(1).nunique())
Dict of dicts of dicts to DataFrame,"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)"
"In Python, find out number of differences between two ordered lists","sum(1 for i, j in zip(a, b) if i != j)"
When the key is a tuple in dictionary in Python,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}"
Sorting a list of tuples with multiple conditions,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])"
trim whitespace,s.strip()
trim whitespace (including tabs),s = s.lstrip()
trim whitespace (including tabs),s = s.rstrip()
trim whitespace (including tabs),s = s.strip(' \t\n\r')
trim whitespace (including tabs),"print(re.sub('[\\s+]', '', s))"
"In Django, how do I filter based on all entities in a many-to-many relation instead of any?","Task.objects.exclude(prerequisites__status__in=['A', 'P', 'F'])"
Background color for Tk in Python,root.configure(background='black')
python dict to numpy structured array,"numpy.array([(key, val) for key, val in result.items()], dtype)"
Pandas - Sorting By Column,"pd.concat([df_1, df_2.sort_values('y')])"
rreplace - How to replace the last occurence of an expression in a string?,"re.sub('(.*)</div>', '\\1</bad>', s)"
How do I compare values in a dictionary?,"print(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))"
How to do many-to-many Django query to find book with 2 given authors?,Book.objects.filter(author__id=1).filter(author__id=2)
Python regex split case insensitive in 2.6,"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')"
"List comprehension - converting strings in one list, to integers in another","[sum(map(int, s)) for s in example.split()]"
How to find duplicate elements in array using for loop in Python?,[i for i in y if y[i] == 1]
Converting byte string in unicode string,c.decode('unicode_escape')
"How can I ""unpivot"" specific columns from a pandas DataFrame?","pd.melt(x, id_vars=['farm', 'fruit'], var_name='year', value_name='value')"
add new item to dictionary,default_data['item3'] = 3
add new item to dictionary,"default_data.update({'item3': 3, })"
add new item to dictionary,"default_data.update({'item4': 4, 'item5': 5, })"
Index the first and the last n elements of a list,l[:3] + l[-3:]
How to reset index in a pandas data frame?,df = df.reset_index(drop=True)
Merging a list with a list of lists,[a[x].append(b[x]) for x in range(3)]
how to find the target file's full(absolute path) of the symbolic link or soft link in python,os.path.realpath(path)
How to check if a dictionary is in another dictionary in python,set(L[0].f.items()).issubset(set(a3.f.items()))
How to find the index of a value in 2d array in Python?,zip(*np.where(a == 1))
How to find the index of a value in 2d array in Python?,np.where(a == 1)
Python Pandas - How to flatten a hierarchical index in columns,df.columns = df.columns.get_level_values(0)
Creating a list from a Scipy matrix,"x = scipy.matrix([1, 2, 3]).transpose()"
Regex Python adding characters after a certain word,"text = re.sub('(\\bget\\b)', '\\1@', text)"
Element-wise minimum of multiple vectors in numpy,"np.array([np.arange(3), np.arange(2, -1, -1), np.ones((3,))]).min(axis=0)"
Pandas (python): How to add column to dataframe for index?,"df['new_col'] = list(range(1, len(df) + 1))"
How to set environment variables in Python,os.environ['DEBUSSY'] = '1'
How to set environment variables in Python,print(os.environ['DEBUSSY'])
How to set environment variables in Python,os.environ['DEBUSSY'] = '1'
Python: updating a large dictionary using another large dictionary,b.update(d)
How to get column by number in Pandas?,df['b']
How can I get the color of the last figure in matplotlib?,"ebar = plt.errorbar(x, y, yerr=err, ecolor='y')"
Python: How can I find all files with a particular extension?,results += [each for each in os.listdir(folder) if each.endswith('.c')]
"Concatenating Unicode with string: print '£' + '1' works, but print '£' + u'1' throws UnicodeDecodeError",print('\xc2\xa3'.decode('utf8') + '1')
How to convert the following string in python?,"re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()"
Setting stacksize in a python script,os.system('ulimit -s unlimited; some_executable')
Python Decimals format,"""""""{0:.3g}"""""".format(num)"
Add single element to array in numpy,"numpy.append(a, a[0])"
Return the column name(s) for a specific value in a pandas dataframe,"df.ix[:, (df.loc[0] == 38.15)].columns"
Merge 2 dataframes with same values in a column,df2['revenue'] = df2.CET.map(df1.set_index('date')['revenue'])
How To Format a JSON Text In Python?,json_data = json.loads(json_string)
Python: converting radians to degrees,math.cos(math.radians(1))
count how many of an object type there are in a list Python,"sum(isinstance(x, int) for x in a)"
Python: Getting rid of \u200b from a string using regular expressions,"'used\u200b'.replace('\u200b', '*')"
How to run two functions simultaneously,threading.Thread(target=SudsMove).start()
sum of squares in a list in one line?,sum(i * i for i in l)
sum of squares in a list in one line?,"sum(map(lambda x: x * x, l))"
Create a dictionary with list comprehension,"d = dict(((key, value) for (key, value) in iterable))"
Create a dictionary with list comprehension,"d = {key: value for (key, value) in iterable}"
Create a dictionary with list comprehension,"d = {k: v for (k, v) in iterable}"
Rounding entries in a Pandas DafaFrame,"df.round({'Alabama_exp': 2, 'Credit_exp': 3})"
Pycurl keeps printing in terminal,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
Return a random word from a word list in python,print(random.choice(words))
Find Max in Nested Dictionary,"max(d, key=lambda x: d[x]['count'])"
How to replace empty string with zero in comma-separated string?,"[(int(x) if x else 0) for x in data.split(',')]"
How to replace empty string with zero in comma-separated string?,""""""","""""".join(x or '0' for x in s.split(','))"
"Regular expression syntax for ""match nothing""?",re.compile('$^')
"Regular expression syntax for ""match nothing""?",re.compile('.\\A|.\\A*|.\\A+')
"Regular expression syntax for ""match nothing""?",re.compile('a^')
Python Pandas drop columns based on max value of column,df.columns[df.max() > 0]
How can I check if a date is the same day as datetime.today()?,yourdatetime.date() == datetime.today().date()
How do I print bold text in Python?,print('\x1b[1m' + 'Hello')
Renaming multiple files in python,"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')"
Can I get a list of the variables that reference an other in Python 2.7?,"['a', 'c', 'b', 'obj']"
Substitute multiple whitespace with single whitespace in Python,""""""" """""".join(mystring.split())"
How to print floating point numbers as it is without any truncation in python?,print('{:.100f}'.format(2.345e-67))
Check if a given key already exists in a dictionary,('key1' in dict)
Check if a given key already exists in a dictionary,('a' in d)
Check if a given key already exists in a dictionary,('c' in d)
Check if a given key already exists in a dictionary,"if ('key1' in dict):
    pass"
Check if a given key already exists in a dictionary,"if (key in d):
    pass"
django filter with list of values,"Blog.objects.filter(pk__in=[1, 4, 7])"
read a binary file (python),"f = open('test/test.pdf', 'rb')"
Format string - spaces between every three digit,"format(12345678.46, ',').replace(',', ' ').replace('.', ',')"
Joining pandas dataframes by column names,"pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')"
How to calculate percentage of sparsity for a numpy array/matrix?,np.isnan(a).sum() / np.prod(a.shape)
Sorting a defaultdict by value in python,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)"
Sorting a defaultdict by value in python,"sorted(list(u.items()), key=lambda v: v[1])"
Sorting a defaultdict by value in python,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)"
Sorting a defaultdict by value in python,"sorted(list(d.items()), key=lambda k_v: k_v[1])"
How to reliably open a file in the same directory as a Python script,"f = open(os.path.join(__location__, 'bundled-resource.jpg'))"
How do I convert LF to CRLF?,"f = open('words.txt', 'rU')"
Divide the values of two dictionaries in python,{k: (float(d2[k]) / d1[k]) for k in d2}
Divide the values of two dictionaries in python,{k: (d2[k] / d1[k]) for k in list(d1.keys()) & d2}
Divide the values of two dictionaries in python,"dict((k, float(d2[k]) / d1[k]) for k in d2)"
How to specify date format when using pandas.to_csv?,"df.to_csv(filename, date_format='%Y%m%d')"
How to remove a key from a python dictionary?,"my_dict.pop('key', None)"
replace values in an array,"b = np.where(np.isnan(a), 0, a)"
"Python, running command line tools in parallel","subprocess.call('start command -flags arguments', shell=True)"
"Python, running command line tools in parallel","subprocess.call('command -flags arguments &', shell=True)"
Passing the '+' character in a POST request in Python,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
How do I remove whitespace from the end of a string in Python?,"""""""    xyz     """""".rstrip()"
URL encoding in python,urllib.parse.quote(s.encode('utf-8'))
URL encoding in python,urllib.parse.quote_plus('a b')
Convert string to numpy array,"np.array(map(int, '100110'))"
Convert string to numpy array,"print(np.array(list(mystr), dtype=int))"
How can I convert an RGB image into grayscale in Python?,"img = cv2.imread('messi5.jpg', 0)"
sorting a graph by its edge weight. python,"lst.sort(key=lambda x: x[2], reverse=True)"
How to find all occurrences of an element in a list?,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']"
How can I execute shell command with a | pipe in it,"subprocess.call('grep -r PASSED *.log | sort -u | wc -l', shell=True)"
How to count the number of a specific character at the end of a string ignoring duplicates?,len(my_text) - len(my_text.rstrip('?'))
converting currency with $ to numbers in Python pandas,"df[df.columns[1:]].replace('[\\$,]', '', regex=True).astype(float)"
Conditionally fill a column of a pandas df with values of a different df,"df1.merge(df2, how='left', on='word')"
Switch every pair of characters in a string,"print(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')"
How to make a window jump to the front?,"root.attributes('-topmost', True)"
How to make a window jump to the front?,root.lift()
Elegant way to convert list to hex string,"hex(int(''.join([str(int(b)) for b in walls]), 2))"
Elegant way to convert list to hex string,"hex(sum(b << i for i, b in enumerate(reversed(walls))))"
Print multiple arguments in python,"print(('Total score for', name, 'is', score))"
Print multiple arguments in python,"print('Total score for {} is {}'.format(name, score))"
Print multiple arguments in python,"print('Total score for %s is %s  ' % (name, score))"
Print multiple arguments in python,"print(('Total score for', name, 'is', score))"
Is it possible to serve a static html page at the root of a django project?,"url('^$', TemplateView.as_view(template_name='your_template.html'))"
use a list of values to select rows from a pandas dataframe,"df[df['A'].isin([3, 6])]"
How to get the concrete class name as a string?,instance.__class__.__name__
How can I execute Python code in a virtualenv from Matlab,system('/path/to/my/venv/bin/python myscript.py')
django models selecting single field,"Employees.objects.values_list('eng_name', flat=True)"
Python regex findall alternation behavior,"re.findall('\\d|\\d,\\d\\)', '6,7)')"
How do I make python to wait for a pressed key,input('Press Enter to continue...')
Print string as hex literal python,"""""""ABC"""""".encode('hex')"
python + pymongo: how to insert a new field on an existing document in mongo from a for loop,"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})"
"Regex to match 'lol' to 'lolllll' and 'omg' to 'omggg', etc","re.sub('l+', 'l', 'lollll')"
Getting the nth element using BeautifulSoup,rows = soup.findAll('tr')[4::5]
Reverse Y-Axis in PyPlot,plt.gca().invert_xaxis()
Reverse Y-Axis in PyPlot,plt.gca().invert_yaxis()
How do I stack two DataFrames next to each other in Pandas?,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)"
Creating a JSON response using Django and Python,"return HttpResponse(json.dumps(response_data), content_type='application/json')"
Process escape sequences in a string,myString.decode('string_escape')
How do I calculate the md5 checksum of a file in Python?,"hashlib.md5(open('filename.exe', 'rb').read()).hexdigest()"
Finding key from value in Python dictionary:,"[k for k, v in d.items() if v == desired_value]"
Extract all keys from a list of dictionaries,{k for d in LoD for k in list(d.keys())}
Extract all keys from a list of dictionaries,set([i for s in [list(d.keys()) for d in LoD] for i in s])
Extract all keys from a list of dictionaries,[i for s in [list(d.keys()) for d in LoD] for i in s]
"Is there a more elegant way for unpacking keys and values of a dictionary into two lists, without losing consistence?","keys, values = zip(*list(d.items()))"
Convert a string to integer with decimal in Python,int(Decimal(s))
Convert a string to integer with decimal in Python,int(s.split('.')[0])
Numpy: How to check if array contains certain numbers?,"numpy.in1d(b, a).all()"
Numpy: How to check if array contains certain numbers?,numpy.array([(x in a) for x in b])
Node labels using networkx,"networkx.draw_networkx_labels(G, pos, labels)"
How to make a copy of a 2D array in Python?,y = [row[:] for row in x]
Pythonic way to populate numpy array,"X = numpy.loadtxt('somefile.csv', delimiter=',')"
Check if a Python list item contains a string inside another string,matching = [s for s in some_list if 'abc' in s]
How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?,"df.to_csv('mydf.tsv', sep='\t')"
How do I create a LIST of unique random numbers?,"random.sample(list(range(100)), 10)"
Splitting on last delimiter in Python string?,"s.rsplit(',', 1)"
Python check if all elements of a list are the same type,"all(isinstance(x, int) for x in lst)"
Python check if all elements of a list are the same type,"all(isinstance(x, int) for x in lst)"
Python . How to get rid of '\r' in string?,line.strip()
How can I scroll a web page using selenium webdriver in python?,"driver.execute_script('window.scrollTo(0, Y)')"
How can I scroll a web page using selenium webdriver in python?,"driver.execute_script('window.scrollTo(0, document.body.scrollHeight);')"
How do I convert a datetime.date object into datetime.datetime in python?,"datetime.datetime.combine(dateobject, datetime.time())"
How to check if one of the following items is in a list?,print(any(x in a for x in b))
Saving a Numpy array as an image,"scipy.misc.imsave('outfile.jpg', image_array)"
Regex for removing data in parenthesis,"item = re.sub(' ?\\([^)]+\\)', '', item)"
Regex for removing data in parenthesis,"item = re.sub(' ?\\(\\w+\\)', '', item)"
Regex for removing data in parenthesis,"item = re.sub(' \\(\\w+\\)', '', item)"
Checking if any elements in one list are in another,len(set(list1).intersection(list2)) > 0
convert hex to decimal,"i = int(s, 16)"
convert hex to decimal,"int('0xff', 16)"
convert hex to decimal,"int('FFFF', 16)"
convert hex to decimal,ast.literal_eval('0xdeadbeef')
convert hex to decimal,"int('deadbeef', 16)"
Take screenshot in Python on Mac OS X,os.system('screencapture screen.png')
How to set window size using phantomjs and selenium webdriver in python,"driver.set_window_size(1400, 1000)"
Replace non-ascii chars from a unicode string in Python,"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')"
Pandas/Python: How to concatenate two dataframes without duplicates?,"pandas.concat([df1, df2]).drop_duplicates().reset_index(drop=True)"
numpy: efficiently reading a large array,"a = numpy.fromfile('filename', dtype=numpy.float32)"
How to use the mv command in Python with subprocess,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)"
How to use the mv command in Python with subprocess,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)"
How to use Unicode characters in a python string,print('\u25b2'.encode('utf-8'))
Comparing two .txt files using difflib in Python,"difflib.SequenceMatcher(None, file1.read(), file2.read())"
Creating a dictionary from a string,"dict((k, int(v)) for k, v in (e.split(' - ') for e in s.split(',')))"
How to check if all elements in a tuple or list are in another?,"all(i in (1, 2, 3, 4, 5) for i in (1, 6))"
python pandas extract unique dates from time series,df['Date'].map(lambda t: t.date()).unique()
Formatting text to be justified in Python 3.3 with .format() method,"""""""{:>7s}"""""".format(mystring)"
How do I read an Excel file into Python using xlrd? Can it read newer Office formats?,"open('ComponentReport-DJI.xls', 'rb').read(200)"
How to sort a dataFrame in python pandas by two or more columns?,"df.sort_values(['b', 'c'], ascending=[True, False], inplace=True)"
How to sort a dataFrame in python pandas by two or more columns?,"df.sort_values(['a', 'b'], ascending=[True, False])"
How to sort a dataFrame in python pandas by two or more columns?,"df1.sort(['a', 'b'], ascending=[True, False], inplace=True)"
How to sort a dataFrame in python pandas by two or more columns?,"df.sort(['a', 'b'], ascending=[True, False])"
Django redirect to root from a view,redirect('Home.views.index')
Remove all values within one list from another list in python,"[x for x in a if x not in [2, 3, 7]]"
How to remove all the punctuation in a string? (Python),"out = ''.join(c for c in asking if c not in ('!', '.', ':'))"
Python: BeautifulSoup - get an attribute value based on the name attribute,"soup.find('meta', {'name': 'City'})['content']"
How to unquote a urlencoded unicode string in python?,urllib.parse.unquote('%0a')
How to unquote a urlencoded unicode string in python?,urllib.parse.unquote(url).decode('utf8')
empty a list,del lst[:]
empty a list,del lst1[:]
empty a list,lst[:] = []
empty a list,alist[:] = []
Pandas reset index on series to remove multiindex,s.reset_index(0).reset_index(drop=True)
How to convert unicode text to normal text,elems[0].getText().encode('utf-8')
Subtracting the current and previous item in a list,"[(y - x) for x, y in zip(L, L[1:])]"
Cleanest way to get a value from a list element,"print(re.search('\\bLOG_ADDR\\s+(\\S+)', line).group(1))"
Importing everything ( * ) dynamically from a module,globals().update(importlib.import_module('some.package').__dict__)
Convert a list of characters into a string,""""""""""""".join(['a', 'b', 'c', 'd'])"
Slicing URL with Python,url.split('&')
sort a dictionary by key,od = collections.OrderedDict(sorted(d.items()))
sort a dictionary by key,"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))"
PUT Request to REST API using Python,"response = requests.put(url, data=json.dumps(data), headers=headers)"
Python remove anything that is not a letter or number,"re.sub('[\\W_]+', '', s)"
Python Nested List Comprehension with two Lists,[(x + y) for x in l2 for y in l1]
convert string to dict using list comprehension in python,dict([x.split('=') for x in s.split()])
Remove object from a list of objects in python,my_list.pop(2)
How to delete a character from a string using python?,"s = s.replace('M', '')"
How to delete a character from a string using python?,"newstr = oldstr.replace('M', '')"
How can I sum the product of two list items using for loop in python?,"sum(x * y for x, y in zip(a, b))"
How can I sum the product of two list items using for loop in python?,"list(x * y for x, y in list(zip(a, b)))"
How can I sum the product of two list items using for loop in python?,"sum(i * j for i, j in zip(a, b))"
How can I sum the product of two list items using for loop in python?,"sum(x * y for x, y in list(zip(a, b)))"
Can I read and write file in one line with Python?,"f.write(open('xxx.mp4', 'rb').read())"
How to add an integer to each element in a list?,new_list = [(x + 1) for x in my_list]
Return list of items in list greater than some value,[x for x in j if x >= 5]
matplotlib: Set markers for individual points on a line,"plt.plot(list(range(10)), '--bo')"
matplotlib: Set markers for individual points on a line,"plt.plot(list(range(10)), linestyle='--', marker='o', color='b')"
split elements of a list in python,"[i.split('\t', 1)[0] for i in l]"
split elements of a list in python,myList = [i.split('\t')[0] for i in myList]
Summing elements in a list,sum(your_list)
How to attach debugger to a python subproccess?,ForkedPdb().set_trace()
Python: comprehension to compose two dictionaries,"result = {k: d2.get(v) for k, v in list(d1.items())}"
datetime.datetime.now() + 1,"datetime.datetime.now() + datetime.timedelta(days=1, hours=3)"
Convert binary string to list of integers using Python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]"
switching keys and values in a dictionary in python,"dict((v, k) for k, v in my_dict.items())"
Specific sort a list of numbers separated by dots,"print(sorted(L, key=lambda x: int(x.split('.')[2])))"
How to find a value in a list of python dictionaries?,any(d['name'] == 'Test' for d in label)
How can I remove all instances of an element from a list in Python?,"a[:] = [x for x in a if x != [1, 1]]"
How can I remove all instances of an element from a list in Python?,"[x for x in a if x != [1, 1]]"
Convert a list to a dictionary in Python,"b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}"
How to check whether elements appears in the list only once in python?,len(set(a)) == len(a)
Generating an MD5 checksum of a file,"print(hashlib.md5(open(full_path, 'rb').read()).hexdigest())"
How to sort a dictionary in python by value when the value is a list and I want to sort it by the first index of that list,"sorted(list(data.items()), key=lambda x: x[1][0])"
Pythons fastest way of randomising case of a string,""""""""""""".join(x.upper() if random.randint(0, 1) else x for x in s)"
How to force os.system() to use bash instead of shell,"os.system('GREPDB=""echo 123""; /bin/bash -c ""$GREPDB""')"
How to force os.system() to use bash instead of shell,"os.system('/bin/bash -c ""echo hello world""')"
how to access the class variable by string in Python?,"getattr(test, a_string)"
How to display a jpg file in Python?,Image.open('pathToFile').show()
Replace the single quote (') character from a string,"""""""didn't"""""".replace(""'"", '')"
Sorting files in a list,files.sort(key=file_number)
remove all whitespace in a string,"sentence.replace(' ', '')"
remove all whitespace in a string,"pattern = re.compile('\\s+')
sentence = re.sub(pattern, '', sentence)"
remove all whitespace in a string,sentence.strip()
remove all whitespace in a string,"sentence = re.sub('\\s+', '', sentence, flags=re.UNICODE)"
remove all whitespace in a string,sentence = ''.join(sentence.split())
Sum all values of a counter in Python,sum(my_counter.values())
Numpy: find the euclidean distance between two 3-D arrays,np.sqrt(((A - B) ** 2).sum(-1))
Python: define multiple variables of same type?,"levels = [{}, {}, {}]"
Find the sum of subsets of a list in python,"weekly = [sum(visitors[x:x + 7]) for x in range(0, len(daily), 7)]"
Delete an element from a dictionary,del d[key]
